Title: Constant values
Date: Thu Jun 19 13:01:41 UTC 2025
Command: ngspice-44.2, Build Thu Jun 19 13:01:41 UTC 2025
Plotname: constants
Flags: real
No. Variables: 3
No. Points: 64
Variables:
	0	yes	notype dims=1
	1	tdclk	notype
	2	tclkq	notype
Values:
 0	1.000000000000000e+00
	1.250000000000000e-09
	6.020000000000000e-10

 1	0.000000000000000e+00
	1.232142857142857e-09
	6.020000000000000e-10

 2	0.000000000000000e+00
	1.214285714285714e-09
	6.020000000000000e-10

 3	0.000000000000000e+00
	1.196428571428571e-09
	6.020000000000000e-10

 4	0.000000000000000e+00
	1.178571428571428e-09
	6.020000000000000e-10

 5	0.000000000000000e+00
	1.160714285714286e-09
	6.020000000000000e-10

 6	0.000000000000000e+00
	1.142857142857143e-09
	6.020000000000000e-10

 7	0.000000000000000e+00
	1.125000000000000e-09
	6.020000000000000e-10

 8	0.000000000000000e+00
	1.107142857142857e-09
	6.020000000000000e-10

 9	0.000000000000000e+00
	1.089285714285714e-09
	6.020000000000000e-10

 10	0.000000000000000e+00
	1.071428571428571e-09
	6.020000000000000e-10

 11	0.000000000000000e+00
	1.053571428571428e-09
	6.020000000000000e-10

 12	0.000000000000000e+00
	1.035714285714285e-09
	6.020000000000000e-10

 13	0.000000000000000e+00
	1.017857142857142e-09
	6.020000000000000e-10

 14	0.000000000000000e+00
	9.999999999999994e-10
	6.020000000000000e-10

 15	0.000000000000000e+00
	9.821428571428565e-10
	6.020000000000000e-10

 16	0.000000000000000e+00
	9.642857142857136e-10
	6.020100000000001e-10

 17	0.000000000000000e+00
	9.464285714285707e-10
	6.020100000000001e-10

 18	0.000000000000000e+00
	9.285714285714278e-10
	6.020100000000001e-10

 19	0.000000000000000e+00
	9.107142857142849e-10
	6.020110000000000e-10

 20	0.000000000000000e+00
	8.928571428571420e-10
	6.020110000000000e-10

 21	0.000000000000000e+00
	8.749999999999991e-10
	6.020110000000000e-10

 22	0.000000000000000e+00
	8.571428571428563e-10
	6.020110000000000e-10

 23	0.000000000000000e+00
	8.392857142857134e-10
	6.020110000000000e-10

 24	0.000000000000000e+00
	8.214285714285705e-10
	6.020110000000000e-10

 25	0.000000000000000e+00
	8.035714285714276e-10
	6.020110000000000e-10

 26	0.000000000000000e+00
	7.857142857142847e-10
	6.020110000000000e-10

 27	0.000000000000000e+00
	7.678571428571418e-10
	6.020110000000000e-10

 28	0.000000000000000e+00
	7.499999999999989e-10
	6.020110000000000e-10

 29	0.000000000000000e+00
	7.321428571428560e-10
	6.020120000000001e-10

 30	0.000000000000000e+00
	7.142857142857131e-10
	6.020120000000001e-10

 31	0.000000000000000e+00
	6.964285714285702e-10
	6.020120000000001e-10

 32	0.000000000000000e+00
	6.785714285714273e-10
	6.019670000000000e-10

 33	0.000000000000000e+00
	6.607142857142844e-10
	6.019680000000000e-10

 34	0.000000000000000e+00
	6.428571428571415e-10
	6.019680000000000e-10

 35	0.000000000000000e+00
	6.249999999999986e-10
	6.019680000000000e-10

 36	0.000000000000000e+00
	6.071428571428557e-10
	6.019690000000000e-10

 37	0.000000000000000e+00
	5.892857142857128e-10
	6.019690000000000e-10

 38	0.000000000000000e+00
	5.714285714285699e-10
	6.019700000000000e-10

 39	0.000000000000000e+00
	5.535714285714270e-10
	6.019700000000000e-10

 40	0.000000000000000e+00
	5.357142857142841e-10
	6.019710000000001e-10

 41	0.000000000000000e+00
	5.178571428571412e-10
	6.019720000000001e-10

 42	0.000000000000000e+00
	4.999999999999983e-10
	6.019730000000001e-10

 43	0.000000000000000e+00
	4.821428571428554e-10
	6.019750000000001e-10

 44	0.000000000000000e+00
	4.642857142857125e-10
	6.019760000000000e-10

 45	0.000000000000000e+00
	4.464285714285697e-10
	6.019780000000000e-10

 46	0.000000000000000e+00
	4.285714285714268e-10
	6.019820000000000e-10

 47	0.000000000000000e+00
	4.107142857142840e-10
	6.019860000000001e-10

 48	0.000000000000000e+00
	3.928571428571411e-10
	6.008940000000000e-10

 49	0.000000000000000e+00
	3.749999999999983e-10
	6.009040000000000e-10

 50	0.000000000000000e+00
	3.571428571428554e-10
	6.009180000000000e-10

 51	0.000000000000000e+00
	3.392857142857126e-10
	6.009400000000001e-10

 52	0.000000000000000e+00
	3.214285714285697e-10
	6.009750000000001e-10

 53	0.000000000000000e+00
	3.035714285714269e-10
	6.010290000000000e-10

 54	0.000000000000000e+00
	2.857142857142841e-10
	6.011150000000000e-10

 55	0.000000000000000e+00
	2.678571428571412e-10
	6.012520000000001e-10

 56	0.000000000000000e+00
	2.499999999999984e-10
	6.014710000000000e-10

 57	0.000000000000000e+00
	2.321428571428555e-10
	6.018370000000000e-10

 58	0.000000000000000e+00
	2.142857142857127e-10
	6.024910000000001e-10

 59	0.000000000000000e+00
	1.964285714285698e-10
	6.037470000000000e-10

 60	0.000000000000000e+00
	1.785714285714270e-10
	6.074870000000000e-10

 61	0.000000000000000e+00
	1.607142857142841e-10
	6.206320000000000e-10

 62	0.000000000000000e+00
	1.428571428571413e-10
	6.502830000000001e-10

 63	0.000000000000000e+00
	1.249999999999984e-10
	7.185990000000001e-10

