Title: Constant values
Date: Thu Jun 19 13:01:41 UTC 2025
Command: ngspice-44.2, Build Thu Jun 19 13:01:41 UTC 2025
Plotname: constants
Flags: real
No. Variables: 3
No. Points: 64
Variables:
	0	yes	notype dims=1
	1	tdclk	notype
	2	tclkq	notype
Values:
 0	1.000000000000000e+00
	1.250000000000000e-09
	5.262510000000000e-10

 1	0.000000000000000e+00
	1.232638888888889e-09
	5.262510000000000e-10

 2	0.000000000000000e+00
	1.215277777777778e-09
	5.262510000000000e-10

 3	0.000000000000000e+00
	1.197916666666666e-09
	5.262510000000000e-10

 4	0.000000000000000e+00
	1.180555555555555e-09
	5.262510000000000e-10

 5	0.000000000000000e+00
	1.163194444444444e-09
	5.262510000000000e-10

 6	0.000000000000000e+00
	1.145833333333333e-09
	5.262510000000000e-10

 7	0.000000000000000e+00
	1.128472222222222e-09
	5.262510000000000e-10

 8	0.000000000000000e+00
	1.111111111111110e-09
	5.262510000000000e-10

 9	0.000000000000000e+00
	1.093749999999999e-09
	5.262510000000000e-10

 10	0.000000000000000e+00
	1.076388888888888e-09
	5.262510000000000e-10

 11	0.000000000000000e+00
	1.059027777777777e-09
	5.262510000000000e-10

 12	0.000000000000000e+00
	1.041666666666666e-09
	5.262510000000000e-10

 13	0.000000000000000e+00
	1.024305555555554e-09
	5.262510000000000e-10

 14	0.000000000000000e+00
	1.006944444444443e-09
	5.262510000000000e-10

 15	0.000000000000000e+00
	9.895833333333321e-10
	5.262510000000000e-10

 16	0.000000000000000e+00
	9.722222222222209e-10
	5.261550000000000e-10

 17	0.000000000000000e+00
	9.548611111111097e-10
	5.261550000000000e-10

 18	0.000000000000000e+00
	9.374999999999985e-10
	5.261550000000000e-10

 19	0.000000000000000e+00
	9.201388888888874e-10
	5.261550000000000e-10

 20	0.000000000000000e+00
	9.027777777777763e-10
	5.261550000000000e-10

 21	0.000000000000000e+00
	8.854166666666652e-10
	5.261550000000000e-10

 22	0.000000000000000e+00
	8.680555555555541e-10
	5.261550000000000e-10

 23	0.000000000000000e+00
	8.506944444444430e-10
	5.261550000000000e-10

 24	0.000000000000000e+00
	8.333333333333319e-10
	5.261550000000000e-10

 25	0.000000000000000e+00
	8.159722222222208e-10
	5.261550000000000e-10

 26	0.000000000000000e+00
	7.986111111111097e-10
	5.261550000000000e-10

 27	0.000000000000000e+00
	7.812499999999986e-10
	5.261560000000000e-10

 28	0.000000000000000e+00
	7.638888888888875e-10
	5.261560000000000e-10

 29	0.000000000000000e+00
	7.465277777777764e-10
	5.261560000000000e-10

 30	0.000000000000000e+00
	7.291666666666653e-10
	5.261560000000000e-10

 31	0.000000000000000e+00
	7.118055555555542e-10
	5.261560000000000e-10

 32	0.000000000000000e+00
	6.944444444444431e-10
	5.262480000000000e-10

 33	0.000000000000000e+00
	6.770833333333321e-10
	5.262480000000000e-10

 34	0.000000000000000e+00
	6.597222222222210e-10
	5.262480000000000e-10

 35	0.000000000000000e+00
	6.423611111111099e-10
	5.262480000000000e-10

 36	0.000000000000000e+00
	6.249999999999988e-10
	5.262490000000000e-10

 37	0.000000000000000e+00
	6.076388888888877e-10
	5.262490000000000e-10

 38	0.000000000000000e+00
	5.902777777777766e-10
	5.262500000000000e-10

 39	0.000000000000000e+00
	5.729166666666655e-10
	5.262510000000000e-10

 40	0.000000000000000e+00
	5.555555555555544e-10
	5.262520000000000e-10

 41	0.000000000000000e+00
	5.381944444444433e-10
	5.262530000000000e-10

 42	0.000000000000000e+00
	5.208333333333322e-10
	5.262550000000001e-10

 43	0.000000000000000e+00
	5.034722222222211e-10
	5.262580000000000e-10

 44	0.000000000000000e+00
	4.861111111111100e-10
	5.262610000000001e-10

 45	0.000000000000000e+00
	4.687499999999989e-10
	5.262660000000001e-10

 46	0.000000000000000e+00
	4.513888888888878e-10
	5.262720000000000e-10

 47	0.000000000000000e+00
	4.340277777777767e-10
	5.262810000000000e-10

 48	0.000000000000000e+00
	4.166666666666656e-10
	5.269010000000000e-10

 49	0.000000000000000e+00
	3.993055555555545e-10
	5.269160000000000e-10

 50	0.000000000000000e+00
	3.819444444444435e-10
	5.269409999999999e-10

 51	0.000000000000000e+00
	3.645833333333324e-10
	5.269740000000000e-10

 52	0.000000000000000e+00
	3.472222222222213e-10
	5.270230000000000e-10

 53	0.000000000000000e+00
	3.298611111111102e-10
	5.270959999999999e-10

 54	0.000000000000000e+00
	3.124999999999991e-10
	5.272039999999999e-10

 55	0.000000000000000e+00
	2.951388888888880e-10
	5.273680000000000e-10

 56	0.000000000000000e+00
	2.777777777777769e-10
	5.276170000000000e-10

 57	0.000000000000000e+00
	2.604166666666658e-10
	5.280130000000000e-10

 58	0.000000000000000e+00
	2.430555555555547e-10
	5.286810000000000e-10

 59	0.000000000000000e+00
	2.256944444444436e-10
	5.299900000000000e-10

 60	0.000000000000000e+00
	2.083333333333325e-10
	5.327520000000000e-10

 61	0.000000000000000e+00
	1.909722222222213e-10
	5.377870000000000e-10

 62	0.000000000000000e+00
	1.736111111111102e-10
	5.477950000000000e-10

 63	0.000000000000000e+00
	1.562499999999991e-10
	5.803970000000000e-10

